sequence|An ordered list of terms following a stated indexing or rule.|A rule gives aₙ = 2n + 1. List its first four terms.|3,5,7,9|Use n = 1, 2, 3, and 4 in order.
side|A boundary segment of a polygon, or a ray forming an angle.|An equilateral triangle has perimeter 33 cm. Find one side.|s=33\div3=11\text{ cm}|In this example, a side is one of the triangle's three boundary segments.
Side-Angle-Angle (SAA)|A triangle congruence condition using two angles and a corresponding non-included side; also called AAS.|Two triangles match at angles 35° and 75° and at a side not between those angles.|180^\circ-35^\circ-75^\circ=70^\circ|The third angles also match, so the given side fixes the same triangle size.
Side-Angle-Side (SAS)|A triangle congruence condition using two sides and their included angle.|Two triangles each have sides 6 and 9 with a 50° angle between them.|\triangle ABC\cong\triangle DEF|The matched angle must lie between the two matched sides.
Side-Side-Side (SSS)|A triangle congruence condition using all three corresponding sides.|Two triangles each have side lengths 7, 10, and 12.|(7,10,12)\leftrightarrow(7,10,12)|The three matched lengths determine congruent triangles.
significant digits|Digits indicating the precision of a measured value, starting at the first nonzero digit.|Count significant digits in the measurement 0.00450 m.|0.00450\text{ has }3\text{ significant digits}|Leading zeros are placeholders; the final zero records precision.
similar|Having equal corresponding angles and proportional corresponding lengths.|Compare rectangles measuring 3 by 5 and 9 by 15.|\frac93=\frac{15}{5}=3|Both dimensions scale by the same factor, so the rectangles are similar.
similarity ratio|The ratio of corresponding lengths in similar figures.|A small triangle's 8 cm side corresponds to a large triangle's 20 cm side.|8:20=2:5|State the order: small to large is 2 to 5.
simple interest|Interest calculated only on the original principal.|Find simple interest on 600 dollars at 3% annually for 2 years.|I=Prt=600(0.03)(2)=36|The interest is 36 dollars; the total is 636 dollars.
simplified|Written in a form with unnecessary complexity removed, while preserving value.|Compare 8x + 3x − 2 with its simplified form.|8x+3x-2=11x-2|Combining like terms produces the simpler equivalent expression.
simplify|Rewrite an expression more compactly without changing its value.|Simplify 4(2n + 3) − 5n.|4(2n+3)-5n=8n+12-5n=3n+12|Distribute first, then combine the n-terms.
simulation|A model using a repeatable process to imitate a real situation.|Use digits 0–2 as 'rain' and 3–9 as 'dry' to model a 30% rain chance.|P(\text{rain})=\frac3{10}|Repeated random digits imitate many days under the model.
sine|For an acute angle in a right triangle, opposite-leg length divided by hypotenuse length.|An angle has opposite leg 7 and hypotenuse 25.|\sin\theta=\frac7{25}|Identify the opposite side relative to the selected angle.
slant height|The height along a cone's surface or a pyramid's triangular face, rather than perpendicular to the base.|A right cone has radius 5 cm and vertical height 12 cm.|\ell=\sqrt{5^2+12^2}=13\text{ cm}|The slant height is 13 cm, longer than the vertical height.
slide|An informal name for a translation.|Slide a point 4 units right and 3 units down.|(-1,6)\mapsto(3,3)|Every point of the figure moves by the same vector.
slope|The vertical change divided by horizontal change for a nonvertical line.|A ramp rises 3 meters over a horizontal distance of 8 meters.|m=\frac{\text{rise}}{\text{run}}=\frac38|The ramp rises 3/8 meter for each horizontal meter.
solid|A three-dimensional figure with length, width, and height.|A storage box measures 2 by 5 by 7 units.|V=2(5)(7)=70|Unlike a flat rectangle, the box occupies volume.
solution of a system|Values that satisfy every equation or inequality in a system at the same time.|Solve x + y = 9 together with x − y = 3.|2x=12\quad\Rightarrow\quad(x,y)=(6,3)|The pair works in both original equations.
solutions of an equation or inequality|All variable values that make the stated relation true.|Find all real solutions of 2x + 1 ≤ 9.|2x\le8\quad\Rightarrow\quad x\le4|Every real number at or below 4 satisfies the inequality.
solve|Find all values that make an equation or inequality true.|Solve 5x − 7 = 28.|5x=35\quad\Rightarrow\quad x=7|Substituting 7 gives 35 − 7 = 28.
sphere|A round three-dimensional surface whose points are equally distant from its center; the enclosed solid is also called a sphere.|Find the volume enclosed by a sphere of radius 3 cm.|V=\frac43\pi(3)^3=36\pi\text{ cm}^3|The radius is measured from the center to the surface.
square|A quadrilateral with four equal sides and four right angles.|A square has area 81 cm². Find its side length.|s=\sqrt{81}=9\text{ cm}|Use the positive length.
square centimeter|The area of a square with sides one centimeter long.|A label measures 3 cm by 8 cm.|A=3(8)=24\text{ cm}^2|Twenty-four unit squares cover the label.
square inch|The area of a square with sides one inch long.|A card measures 4 inches by 7 inches.|A=4(7)=28\text{ in}^2|The unit describes area, not length.
square root|A number that, when squared, produces the given number.|Find both real square roots of 81.|9^2=(-9)^2=81|The two square roots are 9 and −9; √81 denotes only 9.
squared|Raised to the second power.|Calculate eleven squared.|11^2=11(11)=121|Squaring multiplies a number by itself.
standard form|A conventional representation whose meaning depends on context, such as Ax + By = C for a line.|Rewrite y = 2x + 5 in standard linear-equation form.|2x-y=-5|This example uses the linear-equation convention; number and polynomial contexts use others.
stem-and-leaf diagram|A data display splitting each numeral into a leading stem and a final leaf.|Display 32, 35, 38, 41 using tens as stems.|3:2,5,8\qquad4:1|The key '3 with leaf 2 means 32' explains the place values.
step function|A function constant on intervals with jumps between them.|Shipping costs 4 dollars up to 1 kg and 7 dollars above 1 kg through 2 kg.|C(w)=\begin{cases}4&0<w\le1\\7&1<w\le2\end{cases}|The cost is flat within each weight band and jumps at the boundary.
straight angle|An angle measuring 180°.|A pointer makes half a full turn.|\frac12(360^\circ)=180^\circ|Its initial and final rays point in opposite directions.
substitute|Replace a variable or expression with an equal value or expression.|Use a = 4 and b = −2 in 3a + b.|3(4)+(-2)=10|Replace each letter before calculating.
subtraction|Finding a difference or removing a quantity from another.|A library starts with 47 reserved books and lends out 19.|47-19=28|Twenty-eight reserved books remain.
sum|The result of addition.|A class collects 26 cans on Monday and 37 on Tuesday.|26+37=63|The sum is 63 cans.
supplementary angles|Two angles whose measures add to 180°.|One supplementary angle is 117°. Find the other.|180^\circ-117^\circ=63^\circ|The two angles total a straight angle.
surface area (SA)|The total area of a solid's exterior surfaces.|Find the surface area of a box measuring 2 by 3 by 5 cm.|SA=2(2\cdot3+2\cdot5+3\cdot5)=62\text{ cm}^2|Count both faces of each of the three rectangular sizes.
survey|A method of collecting responses to questions from a group.|Thirty students answer a favorite-club question; 12 choose art.|\frac{12}{30}=40\%|The result describes these respondents; generalization depends on sampling.
symmetry|A figure's property of remaining unchanged under a transformation such as reflection or rotation.|Turn a square one quarter turn about its center.|\theta=90^\circ|The square occupies the same region after the turn.
system of linear equations|Two or more linear equations considered together.|Solve y = 2x and x + y = 12.|x+2x=12\quad\Rightarrow\quad(x,y)=(4,8)|The solution is the point where the two lines intersect.
T-table|A two-column input-output table organized like the letter T.|Make a table for y = 4x − 1 at x = 0, 1, 2.|\begin{array}{cc}x&y\\0&-1\\1&3\\2&7\end{array}|Each row pairs one input with its output.
tally|A running count recorded as observations occur.|Count each bicycle passing a gate during five minutes.|n=13|A tally increases by one for each bicycle.
tally marks|Short counting strokes usually grouped in fives.|Record a count of 17 using groups of five.|17=5+5+5+2|Make three complete groups of five and two extra strokes.
tangent line|A line touching a circle at exactly one point, perpendicular to the radius there.|A radius reaches the touching point of a tangent line.|r\perp\ell|The radius and tangent form a 90-degree angle at contact.
tangent ratio|For an acute angle in a right triangle, opposite-leg length divided by adjacent-leg length.|An angle has opposite leg 5 and adjacent leg 12.|\tan\theta=\frac5{12}|The hypotenuse is not used in this ratio.
term|A part of a sum separated by addition or subtraction, including its sign.|Identify the terms in 7x² − 4x + 6.|7x^2,\quad-4x,\quad6|The negative sign belongs to the middle term.
terminating decimal|A decimal whose nonzero digits end after finitely many places.|Write 7/16 as a decimal.|\frac7{16}=0.4375|The decimal ends after four places.
tessellation|A covering of a flat surface by shapes with no gaps or overlaps.|Fit six equilateral triangles around one vertex.|6(60^\circ)=360^\circ|The angles fill the space exactly, allowing a repeating tiling.
theoretical probability|Probability calculated from a model rather than trial results.|A fair twelve-sided die has faces 1–12. Find the probability of a multiple of 4.|P=\frac3{12}=\frac14|The favorable faces are 4, 8, and 12.
transformation|A rule that maps points of a figure to new points.|Apply the rule (x, y) → (x + 2, y − 5) to (3, 7).|(3,7)\mapsto(5,2)|This transformation is a translation.
translation|A transformation moving every point by the same distance in the same direction.|Move a triangle 6 units left and 2 units up.|(x,y)\mapsto(x-6,y+2)|The shape, size, and orientation stay unchanged.
transversal|A line crossing two or more coplanar lines at distinct points.|A slanted line crosses two parallel horizontal lines.|\ell_1\parallel\ell_2|The crossing line creates angle pairs such as corresponding and alternate interior angles.
trapezoid|A quadrilateral with at least one pair of parallel sides; some courses require exactly one pair.|A trapezoid has parallel bases 5 cm and 11 cm, with height 4 cm.|A=\frac12(5+11)(4)=32\text{ cm}^2|The area formula works under either definition convention.
tree diagram|A branching display of successive choices or outcomes.|Choose tea or juice, then a small or large cup.|2\cdot2=4|The four leaves are tea-small, tea-large, juice-small, and juice-large.
trend|A general direction or pattern in data.|Weekly attendance is 22, 25, 24, 29, 31.|31-22=9|Despite one decrease, the overall trend is upward.
trend line|A line used to summarize an approximately linear pattern in a scatterplot.|A fitted model predicts score s from practice hours h.|s=6h+50|At h = 4, the trend line predicts a score of 74; individual scores may differ.
trial|One repetition of an experiment.|A student tosses a paper cup 40 times.|n=40\text{ trials}|Each toss and recorded landing is one trial.
triangle|A polygon with three sides.|Find a missing angle when the other two are 54° and 67°.|180^\circ-54^\circ-67^\circ=59^\circ|The three interior angles total 180°.
trigonometric ratios|Ratios of right-triangle side lengths associated with an acute angle.|For an angle with opposite 8, adjacent 15, and hypotenuse 17, give three ratios.|\sin\theta=\frac8{17},\quad\cos\theta=\frac{15}{17},\quad\tan\theta=\frac8{15}|Choose the side relationship for the requested ratio.
trinomial|A polynomial with exactly three nonzero terms after combining like terms.|Count the terms in x² + 6x + 8.|x^2+6x+8|The three terms make it a trinomial.
turn|An informal name for a rotation.|Turn a point (2, −5) halfway around the origin.|(2,-5)\mapsto(-2,5)|A half turn is a 180-degree rotation.
unfair game|A game giving unequal expected advantages under its rules.|Two players stake equal amounts; A wins on die faces 1–4 and B on 5–6.|P(A)=\frac46>\frac26=P(B)|With equal payouts, A has the advantage.
unit|A standard amount used to express a measurement, or one whole in a counting context.|A pencil length is recorded as 16 cm.|L=16\text{ cm}|The number is 16 and the measurement unit is centimeter.
unit fraction|A fraction with numerator 1 and a positive integer denominator.|Divide a whole into 9 equal pieces. Name one piece.|\frac19|One ninth is a unit fraction.
unit price|The cost of one item or one unit of measure.|A pack of 8 markers costs 10.40 dollars.|10.40\div8=1.30|The unit price is 1.30 dollars per marker.
unit rate|A rate expressed for one unit of its denominator quantity.|A cyclist travels 42 km in 3 hours.|42\div3=14\text{ km/h}|The unit rate is 14 kilometers per hour.
unlike denominators|Different denominators in two or more fractions.|Prepare 2/3 and 3/5 for addition.|\frac23=\frac{10}{15},\quad\frac35=\frac9{15}|The original thirds and fifths become matching fifteenths.
upper quartile|The third quartile, marking the lower edge of the highest quarter under a stated convention.|Using median-of-halves, find Q3 for 2, 4, 6, 8, 10, 12, 14, 16.|Q_3=\frac{12+14}{2}=13|The upper half is 10, 12, 14, 16; its median is 13.
variable|A symbol representing an unknown or changing quantity.|A delivery has n identical boxes weighing 6 kg each.|W=6n|The letter n represents the number of boxes.
Venn diagram|A diagram of overlapping regions used to show set relationships.|Of 20 students, 9 play chess, 8 code, and 3 do both. How many do at least one?|9+8-3=14|Subtract the overlap once so those students are not counted twice.
vertex|A meeting point of sides, edges, or rays; a parabola's turning point also has this name.|Name the vertex of angle RST.|\angle RST\quad\Rightarrow\quad S|The shared endpoint is the middle letter.
vertical angles|Opposite angles formed by two intersecting lines.|One angle at an intersection measures 73°. Find its vertically opposite angle.|\theta=73^\circ|Vertical angles have equal measures.
vertical axis|The up-and-down reference axis of a graph, usually the y-axis.|A point lies on the vertical axis with height −6.|P=(0,-6)|Every point on the y-axis has x-coordinate zero.
volume|The amount of three-dimensional space occupied or enclosed, measured in cubic units.|A box is 4 cm wide, 5 cm deep, and 7 cm tall.|V=4(5)(7)=140\text{ cm}^3|Multiply all three dimensions to count unit cubes.
weight|The force of gravity on an object, often reported in customary weight units in everyday contexts.|A parcel's reported weight is 2 pounds 8 ounces. Express it in ounces.|2(16)+8=40\text{ oz}|Convert pounds to ounces before adding.
whole number|One of 0, 1, 2, 3, and so on.|Which of −2, 0, 3/2, and 7 are whole numbers?|\{0,7\}|Whole numbers include zero but exclude negative integers and noninteger fractions.
word form|Writing a number using words rather than digits.|Write 3,408 in words.|3408|The word form is 'three thousand four hundred eight'.
x-axis|The horizontal axis in the usual coordinate plane.|Find where a point on the x-axis can have a nonzero coordinate.|P=(7,0)|All points on the x-axis have y-coordinate zero.
x-coordinate|The first coordinate in an ordered pair, measuring horizontal position.|Read the horizontal coordinate of (−8, 3).|x=-8|The point is eight units left of the origin.
x-intercept|A point where a graph crosses or touches the x-axis; also the x-value of that point.|Find the x-intercept of y = 3x − 12.|0=3x-12\quad\Rightarrow\quad x=4|The intercept point is (4, 0).
y-axis|The vertical axis in the usual coordinate plane.|Give a point five units above the origin on the y-axis.|P=(0,5)|Every point on this axis has x-coordinate zero.
y-coordinate|The second coordinate in an ordered pair, measuring vertical position.|Read the vertical coordinate of (6, −9).|y=-9|The point is nine units below the x-axis.
y-intercept|A point where a graph crosses or touches the y-axis; also its y-value.|Find the y-intercept of y = −2x + 7.|x=0\quad\Rightarrow\quad y=7|The intercept point is (0, 7).
yard|A customary length unit equal to three feet or thirty-six inches.|Convert 2.5 yards to feet.|2.5(3)=7.5\text{ ft}|Multiply yards by 3.
zero pair|Two opposite quantities or counters that combine to zero.|Pair one +1 counter with one −1 counter.|1+(-1)=0|Adding or removing a zero pair does not change the total value.
Zero Property of Addition|Adding zero leaves a number unchanged; also called the additive identity property.|A score of −16 receives no change.|-16+0=-16|Zero is the identity for addition.
